Date,Price,Open,High,Low,Chg%
15-Jul-19,34882,34897,34969,34768,-0.07%
12-Jul-19,34905,34742,34950,34708,0.59%
11-Jul-19,34701,34939,35145,34675,-0.40%
10-Jul-19,34839,34532,34885,34370,0.74%
09-Jul-19,34582,34525,34626,34340,0.01%
08-Jul-19,34579,34550,34828,34510,-0.01%
05-Jul-19,34583,34250,35100,34205,1.07%
04-Jul-19,34217,34300,34315,34125,-0.08%
03-Jul-19,34246,34280,34499,34188,0.60%
02-Jul-19,34042,33691,34070,33691,1.19%
01-Jul-19,33643,34138,34138,33620,-1.65%
28-Jun-19,34206,34484,34484,34152,0.09%
27-Jun-19,34175,34333,34333,34030,-0.62%
26-Jun-19,34387,34465,34465,34176,-0.49%
25-Jun-19,34556,34490,34893,34396,0.33%
24-Jun-19,34441,34290,34475,34254,0.80%
21-Jun-19,34167,34070,34468,33900,0.41%
20-Jun-19,34026,33340,34068,33340,2.86%
19-Jun-19,33079,32985,33115,32971,0.17%
18-Jun-19,33024,33045,33258,32915,0.01%
17-Jun-19,33021,33059,33140,32886,-0.07%
14-Jun-19,33045,32980,33344,32980,0.26%
13-Jun-19,32959,32758,32980,32726,0.65%
12-Jun-19,32745,32674,32848,32674,0.35%
11-Jun-19,32632,32692,32705,32486,-0.09%
10-Jun-19,32660,32850,32850,32630,-0.84%
07-Jun-19,32936,32721,33040,32672,0.41%
06-Jun-19,32800,32688,32834,32688,0.31%
05-Jun-19,32700,32700,32700,32700,0.67%
04-Jun-19,32482,32374,32596,32299,0.24%
03-Jun-19,32404,32207,32450,32162,0.95%
31-May-19,32098,31821,32124,31821,0.91%
30-May-19,31809,31560,31884,31534,0.24%
29-May-19,31733,31634,31845,31622,0.61%
28-May-19,31540,31621,31693,31485,-0.23%
27-May-19,31613,31555,31695,31555,0.26%
24-May-19,31530,31646,31680,31483,-0.43%
23-May-19,31667,31347,31735,31232,0.78%
22-May-19,31422,31440,31538,31391,0.02%
21-May-19,31416,31480,31524,31376,-0.38%
20-May-19,31537,31679,31679,31376,-0.80%
17-May-19,31791,31981,32021,31755,-0.58%
16-May-19,31976,32162,32309,31911,-0.88%
15-May-19,32259,32320,32419,32150,0.06%
14-May-19,32241,32450,32454,32231,-0.79%
13-May-19,32498,31987,32538,31862,1.86%
10-May-19,31904,31906,32003,31782,-0.04%
09-May-19,31916,31713,32050,31708,0.73%
08-May-19,31685,31750,31925,31660,-0.14%
07-May-19,31729,31585,31745,31517,0.53%
06-May-19,31563,31500,31650,31471,0.37%
03-May-19,31447,31331,31475,31240,0.33%
02-May-19,31345,31681,31681,31250,-1.24%
01-May-19,31740,31713,31764,31655,-0.05%
30-Apr-19,31756,31909,31909,31706,-0.57%
26-Apr-19,31939,31980,31996,31758,0.09%
25-Apr-19,31911,31786,32025,31704,0.29%
24-Apr-19,31818,31500,31838,31499,0.81%
23-Apr-19,31562,31606,31640,31450,-0.11%
22-Apr-19,31596,31550,31780,31550,0.42%
18-Apr-19,31463,31450,31616,31403,-0.05%
17-Apr-19,31480,31648,31648,31453,-0.22%
16-Apr-19,31548,31800,31865,31523,-0.97%
15-Apr-19,31856,31800,31874,31680,-0.02%
12-Apr-19,31862,31838,31980,31805,0.35%
11-Apr-19,31750,32232,32232,31734,-1.64%
10-Apr-19,32281,32161,32293,32086,0.25%
09-Apr-19,32201,32225,32274,32121,0.05%
08-Apr-19,32186,31900,32287,31900,1.44%
05-Apr-19,31729,31600,31865,31600,0.75%
04-Apr-19,31492,31471,31501,31471,0.01%
03-Apr-19,31489,31462,31539,31402,0.00%
02-Apr-19,31490,31547,32430,31450,-0.11%
01-Apr-19,31526,31695,31710,31510,-0.66%
29-Mar-19,31734,31588,31819,31500,0.40%
28-Mar-19,31607,32000,32038,31576,-1.28%
27-Mar-19,32016,32150,32180,31986,-0.27%
26-Mar-19,32104,32180,32204,32015,-0.37%
25-Mar-19,32224,32150,32246,32072,0.26%
22-Mar-19,32140,31852,32165,31620,1.01%
21-Mar-19,31819,31911,32038,31767,0.38%
20-Mar-19,31697,31907,31939,31665,-0.82%
19-Mar-19,31960,31725,32006,31657,0.97%
18-Mar-19,31652,31750,31750,31553,-0.55%
15-Mar-19,31826,31886,31940,31742,0.06%
14-Mar-19,31808,32153,32192,31781,-1.24%
13-Mar-19,32207,32050,32319,32050,0.65%
12-Mar-19,32000,31984,32043,31870,0.33%
11-Mar-19,31896,32124,32154,31875,-0.84%
08-Mar-19,32167,31970,32227,31940,0.73%
07-Mar-19,31934,31931,31965,31777,-0.04%
06-Mar-19,31948,32170,32298,31871,-0.42%
05-Mar-19,32083,32409,32428,32070,-0.89%
04-Mar-19,32370,32550,32550,32255,-0.83%
01-Mar-19,32640,32950,33007,32600,-1.03%
28-Feb-19,32981,33320,33385,32966,-0.92%
27-Feb-19,33286,33461,33617,33242,-0.24%
26-Feb-19,33367,33450,33598,33334,0.20%
25-Feb-19,33300,33511,33539,33277,-0.65%
22-Feb-19,33517,33448,33560,33330,0.20%
21-Feb-19,33449,33780,33799,33417,-1.24%
20-Feb-19,33870,33943,34031,33833,-0.09%
19-Feb-19,33899,33650,33918,33581,0.87%
18-Feb-19,33608,33450,33625,33450,0.67%
15-Feb-19,33384,33140,33410,33140,0.92%
14-Feb-19,33079,32950,33107,32874,0.21%
13-Feb-19,33011,32854,33145,32805,0.49%
12-Feb-19,32851,32995,33075,32813,-0.59%
11-Feb-19,33046,33200,33200,32908,-0.59%
08-Feb-19,33242,33199,33258,33011,0.22%
07-Feb-19,33169,33285,33285,33035,-0.47%
06-Feb-19,33327,33360,33445,33292,0.25%
05-Feb-19,33245,33400,33449,33081,-0.28%
04-Feb-19,33339,33750,33750,33180,-0.20%
01-Feb-19,33405,33057,33464,32953,1.06%
31-Jan-19,33056,32988,33272,32925,0.48%
30-Jan-19,32899,32918,32989,32827,0.00%
29-Jan-19,32900,32545,32939,32545,1.08%
28-Jan-19,32547,32340,32589,32340,0.63%
25-Jan-19,32343,32032,32382,32009,1.03%
24-Jan-19,32013,32138,32151,31981,-0.40%
23-Jan-19,32140,32159,32217,32057,-0.06%
22-Jan-19,32160,31998,32194,31957,0.37%
21-Jan-19,32043,32044,32195,31985,-0.15%
18-Jan-19,32091,32276,32319,32055,-0.55%
17-Jan-19,32268,32290,32390,32205,-0.06%
16-Jan-19,32286,32198,32307,32110,0.33%
15-Jan-19,32180,32130,32277,32110,0.12%
14-Jan-19,32141,31989,32220,31975,0.67%
11-Jan-19,31928,31953,32076,31895,0.15%
10-Jan-19,31880,32048,32135,31853,-0.38%
09-Jan-19,32001,31633,32023,31633,0.82%
08-Jan-19,31741,31618,31760,31565,0.29%
07-Jan-19,31648,31529,31758,31448,0.61%
04-Jan-19,31456,31879,31879,31441,-1.05%
03-Jan-19,31789,31700,31938,31681,0.57%
02-Jan-19,31610,31421,31704,31369,0.60%
01-Jan-19,31422,31409,31461,31357,0.10%
31-Dec-18,31391,31571,31595,31300,-0.66%
28-Dec-18,31598,31665,31734,31585,-0.36%
27-Dec-18,31713,31500,31768,31500,0.49%
26-Dec-18,31559,31470,31740,31470,0.31%
24-Dec-18,31460,31300,31470,31270,0.86%
21-Dec-18,31193,31244,31387,31148,-0.38%
20-Dec-18,31311,31159,31343,31002,0.27%
19-Dec-18,31227,31100,31344,31064,0.21%
18-Dec-18,31163,31530,31563,31134,-1.48%
17-Dec-18,31630,31496,31659,31411,0.24%
14-Dec-18,31553,31568,31641,31503,0.08%
13-Dec-18,31527,31636,31698,31486,-0.65%
12-Dec-18,31732,31817,31838,31692,-0.64%
11-Dec-18,31935,31949,31988,31740,-0.29%
10-Dec-18,32028,31647,32118,31530,1.37%
07-Dec-18,31595,31071,32021,31024,1.63%
06-Dec-18,31089,31150,31296,31062,0.78%
05-Dec-18,30847,30901,30901,30810,-0.34%
04-Dec-18,30952,30786,31019,30751,0.66%
03-Dec-18,30748,30392,30853,30392,1.68%
30-Nov-18,30240,30195,30358,30107,0.12%
29-Nov-18,30204,30338,30339,30155,-0.76%
28-Nov-18,30434,30365,30578,30250,0.11%
27-Nov-18,30402,30563,30630,30365,-0.47%
26-Nov-18,30547,30471,30661,30445,0.17%
23-Nov-18,30495,30540,30548,30412,-0.37%
22-Nov-18,30609,30855,30880,30568,-0.70%
21-Nov-18,30825,30775,30895,30725,0.04%
20-Nov-18,30814,30787,30990,30758,-0.21%
19-Nov-18,30879,31010,31040,30765,-0.41%
16-Nov-18,31007,30845,31147,30810,0.60%
15-Nov-18,30821,30924,30937,30720,0.00%
14-Nov-18,30822,30704,30846,30605,0.17%
13-Nov-18,30769,30909,30919,30751,-0.75%
12-Nov-18,31001,31100,31169,30969,-0.05%
09-Nov-18,31016,31310,31372,30942,-1.24%
08-Nov-18,31406,31501,31501,31212,-0.58%
07-Nov-18,31589,31687,31687,31551,-0.18%
06-Nov-18,31646,31718,31876,31632,-0.18%
05-Nov-18,31702,31736,31835,31681,-0.15%
02-Nov-18,31750,31821,31835,31600,-0.45%
01-Nov-18,31892,31787,31938,31745,0.45%
31-Oct-18,31748,31851,31899,31711,-0.28%
30-Oct-18,31837,31919,31939,31760,-0.16%
29-Oct-18,31888,31903,32020,31846,-0.15%
26-Oct-18,31937,31964,32213,31901,0.24%
25-Oct-18,31861,32114,32114,31841,-0.16%
24-Oct-18,31913,31970,32029,31785,-0.47%
23-Oct-18,32064,31965,32280,31958,0.53%
22-Oct-18,31894,31880,31916,31800,-0.03%
19-Oct-18,31902,32047,32047,31863,-0.53%
18-Oct-18,32072,31937,32097,31826,0.66%
17-Oct-18,31861,31834,32020,31783,-0.02%
16-Oct-18,31868,32072,32160,31851,-0.62%
15-Oct-18,32066,31900,32311,31831,0.69%
12-Oct-18,31846,31898,31898,31730,-0.45%
11-Oct-18,31991,31447,32014,31431,1.94%
10-Oct-18,31381,31366,31395,31267,0.31%
09-Oct-18,31283,31305,31400,31231,0.20%
08-Oct-18,31220,31531,31531,31202,0.21%
05-Oct-18,31154,30950,31429,30925,0.08%
04-Oct-18,31130,31053,31180,31000,0.39%
03-Oct-18,31009,31350,31350,30840,1.36%
01-Oct-18,30592,30501,30694,30370,0.36%
28-Sep-18,30481,30328,30520,30220,0.52%
27-Sep-18,30324,30635,30665,30300,-0.88%
26-Sep-18,30593,30800,30810,30567,-0.73%
25-Sep-18,30819,30797,30847,30730,-0.07%
24-Sep-18,30842,30613,30892,30595,0.85%
21-Sep-18,30582,30700,30904,30485,-0.06%
20-Sep-18,30599,30600,30670,30562,-0.09%
19-Sep-18,30627,30716,30928,30613,-0.54%
18-Sep-18,30793,30707,30928,30644,0.06%
17-Sep-18,30776,30558,30800,30558,1.12%
14-Sep-18,30436,30533,30637,30370,-0.05%
13-Sep-18,30450,30604,30679,30424,-0.66%
12-Sep-18,30651,30721,30765,30410,-0.21%
11-Sep-18,30717,30630,30738,30535,0.01%
10-Sep-18,30715,30569,30729,30495,0.72%
07-Sep-18,30494,30544,30544,30385,-0.17%
06-Sep-18,30547,30400,30700,30400,0.77%
05-Sep-18,30315,30219,30437,30219,0.45%
04-Sep-18,30178,30265,30298,30137,-0.49%
03-Sep-18,30327,30100,30347,30070,0.66%
31-Aug-18,30129,30294,30359,30110,-0.14%
30-Aug-18,30170,30151,30316,30110,-0.06%
29-Aug-18,30188,30004,30200,30003,0.55%
28-Aug-18,30024,30055,30210,30001,0.07%
27-Aug-18,30002,29910,30081,29883,0.33%
24-Aug-18,29903,29600,29967,29570,1.00%
23-Aug-18,29608,29628,29680,29540,-0.24%
22-Aug-18,29678,29700,29795,29636,0.25%
21-Aug-18,29605,29548,29627,29501,0.37%
20-Aug-18,29497,29465,29525,29423,0.50%
17-Aug-18,29349,29330,29451,29268,0.06%
16-Aug-18,29330,29600,29600,29283,-1.36%
14-Aug-18,29735,29700,29817,29640,0.03%
13-Aug-18,29725,29826,29893,29705,-0.19%
10-Aug-18,29783,29696,29815,29602,0.39%
09-Aug-18,29668,29640,29734,29585,0.20%
08-Aug-18,29610,29626,29694,29546,0.04%
07-Aug-18,29597,29668,29734,29585,-0.11%
06-Aug-18,29629,29690,29697,29610,0.48%
03-Aug-18,29486,29411,29900,29400,0.00%
02-Aug-18,29487,29480,29565,29451,0.22%
01-Aug-18,29422,29615,29670,29369,-0.78%
31-Jul-18,29653,29705,29726,29565,-0.31%
